Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Brazilian Funk,Carioca Funk,Subgenre,130,150,130-150,Minor (A/D min),"8A, 7A",,,7,"Bass/Club, Global Club, Moombahton","Loop the beat, quick cut","Filter + Crush - raw, punchy colour",Roll & Vinyl Brake for edits; Echo transitions,2-4 bars,Roll 1/8; Vinyl Brake,40-70%,In: short intro. Out: quick cut,High - vocal shouts/hooks,Med - beat-swap,4-8 bars,8-16,Syncopated tamborzao beat in,-,Vocal hook tension,16,"Raw percussive bounce - hype, aggressive party energy",8,Vocal breather,8-16,Short tail,2-3 min,8/16-bar,"Loop-driven, syncopated tamborzao beat, vocal hooks; short, edit-friendly.",,,"Rio baile funk - heavy tamborzao beat, raw street energy","Tamborzao/beatbox-style beat, deep bass hits, vocal shouts","Syncopated tamborzao/beatbox rhythm, heavy kick pattern","Minimal minor, vocal-led","Beat-loop programming, vocal chops, raw lo-fi party energy","Natural minor, vocal-led","Minimal minor, vocal hook","Tamborzao/beatbox kits, 808; Ableton",Master ~-7 LUFS; heavy kick; mono sub,,,,,Brazilian Funk,,,,,,
Brazilian Funk,Mandelao Funk,Subgenre,130,150,130-150,Minor (A/D min),"8A, 7A",,,7,"Bass/Club, Global Club, Moombahton","Loop the beat, quick cut","Filter + Crush - raw, punchy colour",Roll & Vinyl Brake for edits; Echo transitions,2-4 bars,Roll 1/8; Vinyl Brake,40-70%,In: short intro. Out: quick cut,High - vocal shouts/hooks,Med - beat-swap,4-8 bars,8-16,Syncopated tamborzao beat in,-,Vocal hook tension,16,"Raw percussive bounce - hype, aggressive party energy",8,Vocal breather,8-16,Short tail,2-3 min,8/16-bar,"Loop-driven, syncopated tamborzao beat, vocal hooks; short, edit-friendly.",,,Sao Paulo funk with hypnotic looping beatbox-style percussion,"Tamborzao/beatbox-style beat, deep bass hits, vocal shouts","Syncopated tamborzao/beatbox rhythm, heavy kick pattern","Minimal minor, vocal-led","Beat-loop programming, vocal chops, raw lo-fi party energy","Natural minor, vocal-led","Minimal minor, vocal hook","Tamborzao/beatbox kits, 808; Ableton",Master ~-7 LUFS; heavy kick; mono sub,,,,,Brazilian Funk,,,,,,
Brazilian Funk,BH Funk,Subgenre,130,150,130-150,Minor (A/D min),"8A, 7A",,,7,"Bass/Club, Global Club, Moombahton","Loop the beat, quick cut","Filter + Crush - raw, punchy colour",Roll & Vinyl Brake for edits; Echo transitions,2-4 bars,Roll 1/8; Vinyl Brake,40-70%,In: short intro. Out: quick cut,High - vocal shouts/hooks,Med - beat-swap,4-8 bars,8-16,Syncopated tamborzao beat in,-,Vocal hook tension,16,"Raw percussive bounce - hype, aggressive party energy",8,Vocal breather,8-16,Short tail,2-3 min,8/16-bar,"Loop-driven, syncopated tamborzao beat, vocal hooks; short, edit-friendly.",,,"Belo Horizonte funk - aggressive, bass-driven Brazilian club sound","Tamborzao/beatbox-style beat, deep bass hits, vocal shouts","Syncopated tamborzao/beatbox rhythm, heavy kick pattern","Minimal minor, vocal-led","Beat-loop programming, vocal chops, raw lo-fi party energy","Natural minor, vocal-led","Minimal minor, vocal hook","Tamborzao/beatbox kits, 808; Ableton",Master ~-7 LUFS; heavy kick; mono sub,,,,,Brazilian Funk,,,,,,
Brazilian Funk,Melodic Funk,Subgenre,130,150,130-150,Minor (A/D min),"8A, 7A",,,7,"Bass/Club, Global Club, Moombahton","Loop the beat, quick cut","Filter + Crush - raw, punchy colour",Roll & Vinyl Brake for edits; Echo transitions,2-4 bars,Roll 1/8; Vinyl Brake,40-70%,In: short intro. Out: quick cut,High - vocal shouts/hooks,Med - beat-swap,4-8 bars,8-16,Syncopated tamborzao beat in,-,Vocal hook tension,16,"Raw percussive bounce - hype, aggressive party energy",8,Vocal breather,8-16,Short tail,2-3 min,8/16-bar,"Loop-driven, syncopated tamborzao beat, vocal hooks; short, edit-friendly.",,,"Brazilian funk with melodic hooks and softer, catchy arrangements","Tamborzao/beatbox-style beat, deep bass hits, vocal shouts","Syncopated tamborzao/beatbox rhythm, heavy kick pattern","Minimal minor, vocal-led","Beat-loop programming, vocal chops, raw lo-fi party energy","Natural minor, vocal-led","Minimal minor, vocal hook","Tamborzao/beatbox kits, 808; Ableton",Master ~-7 LUFS; heavy kick; mono sub,,,,,Brazilian Funk,,,,,,
Brazilian Funk,Eletrofunk,Subgenre,130,150,130-150,Minor (A/D min),"8A, 7A",,,7,"Bass/Club, Global Club, Moombahton","Loop the beat, quick cut","Filter + Crush - raw, punchy colour",Roll & Vinyl Brake for edits; Echo transitions,2-4 bars,Roll 1/8; Vinyl Brake,40-70%,In: short intro. Out: quick cut,High - vocal shouts/hooks,Med - beat-swap,4-8 bars,8-16,Syncopated tamborzao beat in,-,Vocal hook tension,16,"Raw percussive bounce - hype, aggressive party energy",8,Vocal breather,8-16,Short tail,2-3 min,8/16-bar,"Loop-driven, syncopated tamborzao beat, vocal hooks; short, edit-friendly.",,,Electro-influenced Brazilian funk with synth leads and dance energy,"Tamborzao/beatbox-style beat, deep bass hits, vocal shouts","Syncopated tamborzao/beatbox rhythm, heavy kick pattern","Minimal minor, vocal-led","Beat-loop programming, vocal chops, raw lo-fi party energy","Natural minor, vocal-led","Minimal minor, vocal hook","Tamborzao/beatbox kits, 808; Ableton",Master ~-7 LUFS; heavy kick; mono sub,,,,,Brazilian Funk,,,,,,
Breaks / Breakbeat / UK Bass,Breaks / Breakbeat / UK Bass,Genre,125,140,125-140,Minor (A/E min),"8A, 9A",Breakbeat,Peak,6,"UK Bass, Electro, Tech House","Blend on the breakbeat, EQ trade",Filter + Crush - punch up the breaks,Roll & Trans on the breakbeat; Echo transitions,4-8 bars,Roll 1/8; Echo 1/2,30-60%,In: intro. Out: on the breakbeat drop,Low-Med - mostly instrumental,Med - drops align,8-16 bars,16,Funky breakbeat rolls in,16,"Filtered tension, riser",32,"Punchy breakbeat drive - funky, rave energy",16,"Break drops, atmosphere breather",16,Breaks thin for mix,5-6 min,16/32-bar,Intro -> breakbeat drop -> breakdown -> second drop -> outro; syncopated breaks.,UK,1990s,"Syncopated breakbeat rhythms, funky basslines","Breakbeats, electro/funk bass, punchy synths","Syncopated chopped breakbeat, punchy funk drums","Funky minor, riff-based","Break chopping, punchy compression, electro bass design",Natural minor,Funky minor riff,"Break samples, electro bass; Serum",Master ~-8 LUFS; punchy breaks; mono sub,"The Prodigy, Hybrid",,Marine Parade,1997-2003; niche revival,"Big Beat, Nu Skool Breaks",,Block Rockin' Beats - The Chemical Brothers (1997),Right Here Right Now - Fatboy Slim (1999),Renegade Master - Wildchild (1995),Ready Steady Go - Paul Oakenfold (2002),We Are Your Friends - Justice vs Simian (2006)
Breaks / Breakbeat / UK Bass,Glitch Hop,Subgenre,105,115,105-115,Minor (A/E min),"8A, 9A",,,6,"UK Bass, Electro, Tech House","Blend on the breakbeat, EQ trade",Filter + Crush - punch up the breaks,Roll & Trans on the breakbeat; Echo transitions,4-8 bars,Roll 1/8; Echo 1/2,30-60%,In: intro. Out: on the breakbeat drop,Low-Med - mostly instrumental,Med - drops align,8-16 bars,16,Funky breakbeat rolls in,16,"Filtered tension, riser",32,"Punchy breakbeat drive - funky, rave energy",16,"Break drops, atmosphere breather",16,Breaks thin for mix,5-6 min,16/32-bar,Intro -> breakbeat drop -> breakdown -> second drop -> outro; syncopated breaks.,,,"Funky mid-tempo breaks (~110) with glitchy, chopped hip-hop swagger","Breakbeats, electro/funk bass, punchy synths","Syncopated chopped breakbeat, punchy funk drums","Funky minor, riff-based","Break chopping, punchy compression, electro bass design",Natural minor,Funky minor riff,"Break samples, electro bass; Serum",Master ~-8 LUFS; punchy breaks; mono sub,"Gramatik, Opiuo",,,,"Breaks, Hip-Hop",,,,,,
Breaks / Breakbeat / UK Bass,Nu Skool Breaks,Subgenre,130,140,130-140,Minor (A/E min),"8A, 9A",,,6,"UK Bass, Electro, Tech House","Blend on the breakbeat, EQ trade",Filter + Crush - punch up the breaks,Roll & Trans on the breakbeat; Echo transitions,4-8 bars,Roll 1/8; Echo 1/2,30-60%,In: intro. Out: on the breakbeat drop,Low-Med - mostly instrumental,Med - drops align,8-16 bars,16,Funky breakbeat rolls in,16,"Filtered tension, riser",32,"Punchy breakbeat drive - funky, rave energy",16,"Break drops, atmosphere breather",16,Breaks thin for mix,5-6 min,16/32-bar,Intro -> breakbeat drop -> breakdown -> second drop -> outro; syncopated breaks.,,,"Techy, bass-heavy breakbeat with electro edge (late 90s/2000s)","Breakbeats, electro/funk bass, punchy synths","Syncopated chopped breakbeat, punchy funk drums","Funky minor, riff-based","Break chopping, punchy compression, electro bass design",Natural minor,Funky minor riff,"Break samples, electro bass; Serum",Master ~-8 LUFS; punchy breaks; mono sub,"Adam Freeland, Stanton Warriors",,,,Breaks,,,,,,
Breaks / Breakbeat / UK Bass,Big Beat,Subgenre,120,140,120-140,Minor (A/E min),"8A, 9A",Breakbeat,Peak,6,"UK Bass, Electro, Tech House","Blend on the breakbeat, EQ trade",Filter + Crush - punch up the breaks,Roll & Trans on the breakbeat; Echo transitions,4-8 bars,Roll 1/8; Echo 1/2,30-60%,In: intro. Out: on the breakbeat drop,Low-Med - mostly instrumental,Med - drops align,8-16 bars,16,Funky breakbeat rolls in,16,"Filtered tension, riser",32,"Punchy breakbeat drive - funky, rave energy",16,"Break drops, atmosphere breather",16,Breaks thin for mix,5-6 min,16/32-bar,Intro -> breakbeat drop -> breakdown -> second drop -> outro; syncopated breaks.,UK,late 1990s,"Punchy breakbeats, rock/funk samples","Breakbeats, electro/funk bass, punchy synths","Syncopated chopped breakbeat, punchy funk drums","Funky minor, riff-based","Break chopping, punchy compression, electro bass design",Natural minor,Funky minor riff,"Break samples, electro bass; Serum",Master ~-8 LUFS; punchy breaks; mono sub,"The Chemical Brothers, Fatboy Slim",,Skint,1996-2001 (niche),Breaks,,,,,,
Dance / Pop,Dance / Pop,Genre,100,128,100-128,Major (C/G/D maj),"8B, 9B, 10B",Four-on-the-floor,Radio/Peak,6,"Tropical House, Future House, Nu Disco","Blend intros, vocal-out then in",Filter - clean filter blends,"Echo on vocals, Reverb & Roll for lifts",4 bars,Echo 1/1 on vocal; Reverb,20-40%,In: intro. Out: after the chorus / on the breakdown,High - vocal-led; avoid two vocals,Med - align on the drop,8-16 bars,n/a,Vocal/melodic set-up,n/a,Pre-chorus lift,n/a,"Hook/chorus - bright, sing-along peak",n/a,Verse/bridge dip,n/a,Fade/tail,3-4 min,verse/chorus,Song-form: intro -> verse -> pre -> chorus/drop -> verse -> chorus -> outro. Radio + club edit.,Global,2010s,Radio-friendly dance-pop crossovers,"Bright synths, vocal-led hooks, plucky leads, clean bass","Four-on-floor or pop beat, claps, simple hats",Catchy major pop progressions (e.g. I-V-vi-IV),"Vocal production forward, clean radio mix, drop/hook, sidechain",Major (Ionian) / minor,vi-IV-I-V catchy pop,"Bright synths, vocal chain; Serum, Nexus",Master ~-8 to -9 LUFS; vocal-forward; mono <120Hz,"Calvin Harris, Dua Lipa",,,2010-present,"Tropical House, Future House",Beatport 'Dance/Electro Pop',One Kiss - Calvin Harris & Dua Lipa (2018),Titanium - David Guetta ft Sia (2011),Wake Me Up - Avicii (2013),This Is What You Came For - Calvin Harris ft Rihanna (2016),Clarity - Zedd ft Foxes (2012)
Dance / Pop,Pop,Subgenre,100,125,100-125,Major (C/G/D maj),"8B, 9B, 10B",,,6,"Tropical House, Future House, Nu Disco","Blend intros, vocal-out then in",Filter - clean filter blends,"Echo on vocals, Reverb & Roll for lifts",4 bars,Echo 1/1 on vocal; Reverb,20-40%,In: intro. Out: after the chorus / on the breakdown,High - vocal-led; avoid two vocals,Med - align on the drop,8-16 bars,n/a,Vocal/melodic set-up,n/a,Pre-chorus lift,n/a,"Hook/chorus - bright, sing-along peak",n/a,Verse/bridge dip,n/a,Fade/tail,3-4 min,verse/chorus,Song-form: intro -> verse -> pre -> chorus/drop -> verse -> chorus -> outro. Radio + club edit.,,,Radio-friendly vocal songs with a dance/electronic production sheen,"Bright synths, vocal-led hooks, plucky leads, clean bass","Four-on-floor or pop beat, claps, simple hats",Catchy major pop progressions (e.g. I-V-vi-IV),"Vocal production forward, clean radio mix, drop/hook, sidechain",Major (Ionian) / minor,vi-IV-I-V catchy pop,"Bright synths, vocal chain; Serum, Nexus",Master ~-8 to -9 LUFS; vocal-forward; mono <120Hz,,,,,Dance/Pop,,,,,,
Dance / Pop,Tropical House,Subgenre,100,118,100-118,Major (C/G/D maj),"8B, 9B, 10B",Four-on-the-floor,Warmup/Radio,5,"Dance/Pop, Deep House, Future House","Blend intros, vocal in/out","Filter + Sweep - soft, airy filter",Echo & Reverb for a summery wash; light Roll,4-8 bars,Echo 1/1; Reverb; light Roll,20-40%,In: intro. Out: after the chorus,High - vocal-led,Low-Med - align on the drop,8-16 bars,n/a,Steel-drum/flute mellow set-up,n/a,Gentle lift,n/a,"Breezy pluck hook - summery, easy peak",n/a,Vocal dip,n/a,Soft fade,3-4 min,verse/chorus,Song-form: intro -> verse -> pre -> chorus/drop -> verse -> chorus -> outro. Radio + club edit.,Global,mid 2010s,"Mellow, steel-drum/flute plucks, 100-118 BPM","Steel-drum/marimba/flute plucks, warm bass, airy pads","Relaxed 4/4, soft claps, shakers","Bright major, simple catchy progressions","Pluck melodies, vocal chops, warm summery mix, gentle drop",Major (Ionian),I-V-vi-IV bright,"Steel-drum/marimba plucks, warm bass; Serum","Master ~-9 LUFS; airy, warm; mono bass","Kygo, Thomas Jack",Kygo - Firestone,,peak 2015-17 (declined),"Dance/Pop, Deep House",,Firestone - Kygo ft Conrad Sewell (2014),Stole the Show - Kygo ft Parson James (2015),Rivers - Thomas Jack (2014),Sugar - Robin Schulz ft Francesco Yates (2015),Old Thing Back (Matoma rmx) - The Notorious B.I.G. (2015)
Dance / Pop,Afro Pop,Subgenre,100,120,100-120,Major (C/G/D maj),"8B, 9B, 10B",,,6,"Tropical House, Future House, Nu Disco","Blend intros, vocal-out then in",Filter - clean filter blends,"Echo on vocals, Reverb & Roll for lifts",4 bars,Echo 1/1 on vocal; Reverb,20-40%,In: intro. Out: after the chorus / on the breakdown,High - vocal-led; avoid two vocals,Med - align on the drop,8-16 bars,n/a,Vocal/melodic set-up,n/a,Pre-chorus lift,n/a,"Hook/chorus - bright, sing-along peak",n/a,Verse/bridge dip,n/a,Fade/tail,3-4 min,verse/chorus,Song-form: intro -> verse -> pre -> chorus/drop -> verse -> chorus -> outro. Radio + club edit.,,,Polished pop built on Afrobeats rhythms and melodies,"Bright synths, vocal-led hooks, plucky leads, clean bass","Four-on-floor or pop beat, claps, simple hats",Catchy major pop progressions (e.g. I-V-vi-IV),"Vocal production forward, clean radio mix, drop/hook, sidechain",Major (Ionian) / minor,vi-IV-I-V catchy pop,"Bright synths, vocal chain; Serum, Nexus",Master ~-8 to -9 LUFS; vocal-forward; mono <120Hz,,,,,"Afrobeats, Dance/Pop",,,,,,
Dance / Pop,Dance Pop,Subgenre,118,128,118-128,Major (C/G/D maj),"8B, 9B, 10B",,,6,"Tropical House, Future House, Nu Disco","Blend intros, vocal-out then in",Filter - clean filter blends,"Echo on vocals, Reverb & Roll for lifts",4 bars,Echo 1/1 on vocal; Reverb,20-40%,In: intro. Out: after the chorus / on the breakdown,High - vocal-led; avoid two vocals,Med - align on the drop,8-16 bars,n/a,Vocal/melodic set-up,n/a,Pre-chorus lift,n/a,"Hook/chorus - bright, sing-along peak",n/a,Verse/bridge dip,n/a,Fade/tail,3-4 min,verse/chorus,Song-form: intro -> verse -> pre -> chorus/drop -> verse -> chorus -> outro. Radio + club edit.,,,Uptempo four-on-floor pop made for clubs and radio crossover,"Bright synths, vocal-led hooks, plucky leads, clean bass","Four-on-floor or pop beat, claps, simple hats",Catchy major pop progressions (e.g. I-V-vi-IV),"Vocal production forward, clean radio mix, drop/hook, sidechain",Major (Ionian) / minor,vi-IV-I-V catchy pop,"Bright synths, vocal chain; Serum, Nexus",Master ~-8 to -9 LUFS; vocal-forward; mono <120Hz,"Dua Lipa, Calvin Harris",,,,Dance/Pop,,,,,,
Deep House,Deep House,Genre,118,125,118-125,Minor & modal (A/D/F min),"8A, 7A, 4A",Four-on-the-floor,Warmup,4,"Organic House, Melodic House, Nu Disco, House","Long harmonic blend, EQ trade in the groove","Filter + Dub Echo - dub echo adds warmth, filter for smooth blends","Echo, Reverb & Ping-Pong for dreamy wash-outs","8 bars, smooth",Echo 1/1-2/1; Reverb,"20-40% subtle, under the mix",In: 16-32 bar intro. Out: breakdown or long outro,Medium - vocal cuts common; watch clashes,Low - blend on the groove,16-32 bars,16-32,"Warm, mellow entry - soft groove eases in",16,Gentle lift - subtle perc & chords build,32,"Deep warm pocket - soulful, laid-back drive",16-32,Chords/atmosphere breathe - tension softens,16-32,Soft wind-down for mixing,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,"Chicago/New York, USA",late 1980s,"Warm chords, jazzy/soul textures, subdued groove","Lush Rhodes/pad chords, deep round sub, soft plucks","Soft 909/808 kick, brushed hats, swung groove, subtle percussion","Jazzy 7th/9th/maj7 chords, mellow minor keys","Warm filtering, tape saturation, gentle sidechain, deep reverb",Dorian / natural minor + jazz extensions,ii7-V7-Imaj7 jazzy loops,"Rhodes, Juno-106 pads; Diva, Ableton",Warm master ~-8 LUFS; deep mono sub; gentle sidechain,"Larry Heard, Kerri Chandler",Mr Fingers - Can You Feel It,"Freerange, Dirtybird",1988-92; revival 2012-16,"Organic House, Soulful House",,Mystery of Love - Mr Fingers (1985),Percolator - Cajmere (1992),At Night - Shakedown (2002),The Ha Dance - Masters at Work (1991),Never Enough - Boris Dlugosch (1996)
Deep House,Lo-Fi House,Subgenre,115,125,115-125,Minor & modal (A/D/F min),"8A, 7A, 4A",Four-on-the-floor,Warmup,4,"Organic House, Melodic House, Nu Disco, House","Long harmonic blend, EQ trade in the groove","Filter + Dub Echo - dub echo adds warmth, filter for smooth blends","Echo, Reverb & Ping-Pong for dreamy wash-outs","8 bars, smooth",Echo 1/1-2/1; Reverb,"20-40% subtle, under the mix",In: 16-32 bar intro. Out: breakdown or long outro,Medium - vocal cuts common; watch clashes,Low - blend on the groove,16-32 bars,16-32,"Warm, mellow entry - soft groove eases in",16,Gentle lift - subtle perc & chords build,32,"Deep warm pocket - soulful, laid-back drive",16-32,Chords/atmosphere breathe - tension softens,16-32,Soft wind-down for mixing,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Global,2010s,"Dusty, tape-saturated, nostalgic house","Lush Rhodes/pad chords, deep round sub, soft plucks","Soft 909/808 kick, brushed hats, swung groove, subtle percussion","Jazzy 7th/9th/maj7 chords, mellow minor keys","Warm filtering, tape saturation, gentle sidechain, deep reverb",Dorian / natural minor + jazz extensions,ii7-V7-Imaj7 jazzy loops,"Rhodes, Juno-106 pads; Diva, Ableton",Warm master ~-8 LUFS; deep mono sub; gentle sidechain,"DJ Boring, Ross From Friends",,,peak 2016-19,Deep House,,,,,,
DJ Tools,DJ Tools,Genre,,,varies,varies,-,N/A,Utility,,(any - used as bridges),Layer over any track as a transition tool,"Filter - any colour, used as a bridge",Any Beat FX - these are utility layers,1-4 bars (as a bridge),"any, tempo-synced",varies,Layer over any track at any point,"Low - by design, made to layer",n/a - used to bridge,any,-,n/a,-,n/a,-,n/a - utility loop/one-shot,-,n/a,-,n/a,1-4 min,loop/one-shot,"Not a song: acapellas, loops, one-shots and battle edits for use inside other tracks.",N/A,N/A,"Acapellas, loops, edits for mixing","Source loops, acapellas, one-shots, scratch phrases",Isolated drum patterns or none,n/a - utility,Built for layering/editing into other tracks,n/a,n/a,n/a - source loops/one-shots,n/a,,,,,,,,,,,
